#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	TSL	APPRIS	SIFT	PolyPhen	AF	AFR_AF	AMR_AF	EAS_AF	EUR_AF	SAS_AF	AA_AF	EA_AF	gnomAD_AF	gnomAD_AFR_AF	gnomAD_AMR_AF	gnomAD_ASJ_AF	gnomAD_EAS_AF	gnomAD_FIN_AF	gnomAD_NFE_AF	gnomAD_OTH_AF	gnomAD_SAS_AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE
rs149217901	22:19435962-19435964	-	splice_acceptor_variant,non_coding_transcript_variant	HIGH	AC000068.5	ENSG00000185065	Transcript	ENST00000431090	antisense	-	1/1	-	-	-	-	-	-	-	rs149217901	-	1	-	Clone_based_vega_gene	-	-	-	-	-	0.1262	0.0151	0.1095	0.2143	0.1839	0.138	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rs885985	22:19511925-19511925	A	stop_gained	HIGH	CLDN5	ENSG00000184113	Transcript	ENST00000403084	protein_coding	1/1	-	-	-	982	109	37	Q/*	Cag/Tag	rs885985	-	-1	-	HGNC	2047	-	-	-	-	0.4968	0.2073	0.5879	0.5298	0.5567	0.728	-	-	0.5626	0.2608	0.5798	0.6498	0.5118	0.5152	0.5844	0.5775	0.7333	-	-	-	25469153	-	-	-	-
rs885985	22:19511925-19511925	A	stop_gained	HIGH	CLDN5	ENSG00000184113	Transcript	ENST00000406028	protein_coding	2/2	-	-	-	1170	109	37	Q/*	Cag/Tag	rs885985	-	-1	-	HGNC	2047	-	-	-	-	0.4968	0.2073	0.5879	0.5298	0.5567	0.728	-	-	0.5626	0.2608	0.5798	0.6498	0.5118	0.5152	0.5844	0.5775	0.7333	-	-	-	25469153	-	-	-	-
rs885985	22:19511925-19511925	A	stop_gained	HIGH	CLDN5	ENSG00000184113	Transcript	ENST00000413119	protein_coding	2/2	-	-	-	410	109	37	Q/*	Cag/Tag	rs885985	-	-1	-	HGNC	2047	-	-	-	-	0.4968	0.2073	0.5879	0.5298	0.5567	0.728	-	-	0.5626	0.2608	0.5798	0.6498	0.5118	0.5152	0.5844	0.5775	0.7333	-	-	-	25469153	-	-	-	-
rs74487784	22:24325095-24325095	T	stop_gained	HIGH	GSTT2	ENSG00000099984	Transcript	ENST00000215780	protein_coding	4/5	-	-	-	435	385	129	K/*	Aag/Tag	-	-	1	-	HGNC	4642	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rs74487784	22:24325095-24325095	T	stop_gained	HIGH	GSTT2	ENSG00000099984	Transcript	ENST00000402588	protein_coding	4/5	-	-	-	387	385	129	K/*	Aag/Tag	-	-	1	-	HGNC	4642	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rs201176441	22:24325648-24325648	T	stop_gained	HIGH	GSTT2	ENSG00000099984	Transcript	ENST00000215780	protein_coding	5/5	-	-	-	636	586	196	R/*	Cga/Tga	-	-	1	-	HGNC	4642	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rs201176441	22:24325648-24325648	T	stop_gained	HIGH	GSTT2	ENSG00000099984	Transcript	ENST00000402588	protein_coding	5/5	-	-	-	546	544	182	R/*	Cga/Tga	-	-	1	-	HGNC	4642	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rs5845253	22:36587845-36587845	CT	splice_donor_variant,frameshift_variant	HIGH	APOL4	ENSG00000100336	Transcript	ENST00000332987	protein_coding	-	-	-	-	744-745	321-322	107-108	-/X	-/AG	rs5845253	-	-1	-	HGNC	14867	-	-	-	-	0.6757	0.8321	0.5447	0.8244	0.496	0.589	0.7733	0.5041	0.5551	0.7738	0.5596	0.4862	0.834	0.5548	0.488	0.5358	0.5546	-	-	-	-	-	-	-	-
rs5845253	22:36587845-36587845	CT	splice_donor_variant,frameshift_variant	HIGH	APOL4	ENSG00000100336	Transcript	ENST00000352371	protein_coding	-	-	-	-	555-556	330-331	110-111	-/X	-/AG	rs5845253	-	-1	-	HGNC	14867	-	-	-	-	0.6757	0.8321	0.5447	0.8244	0.496	0.589	0.7733	0.5041	0.5551	0.7738	0.5596	0.4862	0.834	0.5548	0.488	0.5358	0.5546	-	-	-	-	-	-	-	-
rs5845253	22:36587845-36587845	CT	frameshift_variant	HIGH	APOL4	ENSG00000100336	Transcript	ENST00000404685	protein_coding	5/5	-	-	-	556-557	331-332	111	V/EX	gtt/gAGtt	rs5845253	-	-1	-	HGNC	14867	-	-	-	-	0.6757	0.8321	0.5447	0.8244	0.496	0.589	0.7733	0.5041	0.5551	0.7738	0.5596	0.4862	0.834	0.5548	0.488	0.5358	0.5546	-	-	-	-	-	-	-	-
